meterNumber,meterType,meterModel,meterSerialNumber,meterOwner,capacity,volt,category,phase,meterDigit,region,vendorName,cartonID,meterSequence,defaultUnit,manufacturerName,accuracy,prepaidMeterType,destinationStore,storeAddress,storeManagerName,storeManagerContact,meterSeries
727845734,,VIOIFOWE20119,4.40E+15,Elvic,10783,415V,Non-MD,3-Phase,10741,,Elvic,GIFWOEFO3893518,12,30,TOES,10736,Smart meter,GGC,Maskat town,Rom,10815,8751 - 5
727845735,,VIOIFOWE20120,4.40E+15,Elvic,10784,415V,Non-MD,3-Phase,10742,,Elvic,GIFWOEFO3893518,12,30,TOES,10737,Smart meter,GGC,Maskat town,Rom,10816,8752 - 5
727845736,,VIOIFOWE20121,4.40E+15,Elvic,10785,415V,Non-MD,3-Phase,10743,,Elvic,GIFWOEFO3893518,12,30,TOES,10738,Smart meter,GGC,Maskat town,Rom,10817,8753 - 5
727845737,,VIOIFOWE20122,4.40E+15,Elvic,10786,415V,Non-MD,3-Phase,10744,,Elvic,GIFWOEFO3893518,12,30,TOES,10739,Smart meter,GGC,Maskat town,Rom,10818,8754 - 5
727845738,,VIOIFOWE20123,4.40E+15,Elvic,10787,415V,Non-MD,3-Phase,10745,,Elvic,GIFWOEFO3893518,12,30,TOES,10740,Smart meter,GGC,Maskat town,Rom,10819,8755 - 5
727845739,,VIOIFOWE20124,4.40E+15,Elvic,10788,415V,Non-MD,3-Phase,10746,,Elvic,GIFWOEFO3893518,12,30,TOES,10741,Smart meter,GGC,Maskat town,Rom,10820,8756 - 5
727845740,,VIOIFOWE20125,4.40E+15,Elvic,10789,415V,Non-MD,3-Phase,10747,,Elvic,GIFWOEFO3893518,12,30,TOES,10742,Smart meter,GGC,Maskat town,Rom,10821,8757 - 5
727845741,,VIOIFOWE20126,4.40E+15,Elvic,10790,415V,Non-MD,3-Phase,10748,,Elvic,GIFWOEFO3893518,12,30,TOES,10743,Smart meter,GGC,Maskat town,Rom,10822,8758 - 5
727845742,,VIOIFOWE20127,4.40E+15,Elvic,10791,415V,Non-MD,3-Phase,10749,,Elvic,GIFWOEFO3893518,12,30,TOES,10744,Smart meter,GGC,Maskat town,Rom,10823,8759 - 5
727845743,,VIOIFOWE20128,4.40E+15,Elvic,10792,415V,Non-MD,3-Phase,10750,,Elvic,GIFWOEFO3893518,12,30,TOES,10745,Smart meter,GGC,Maskat town,Rom,10824,8760 - 5
727845744,,VIOIFOWE20129,4.40E+15,Elvic,10793,415V,Non-MD,3-Phase,10751,,Elvic,GIFWOEFO3893518,12,30,TOES,10746,Smart meter,GGC,Maskat town,Rom,10825,8761 - 5
727845745,,VIOIFOWE20130,4.40E+15,Elvic,10794,415V,Non-MD,3-Phase,10752,,Elvic,GIFWOEFO3893518,12,30,TOES,10747,Smart meter,GGC,Maskat town,Rom,10826,8762 - 5
727845746,,VIOIFOWE20131,4.40E+15,Elvic,10795,415V,Non-MD,3-Phase,10753,,Elvic,GIFWOEFO3893518,12,30,TOES,10748,Smart meter,GGC,Maskat town,Rom,10827,8763 - 5
727845747,,VIOIFOWE20132,4.40E+15,Elvic,10796,415V,Non-MD,3-Phase,10754,,Elvic,GIFWOEFO3893518,12,30,TOES,10749,Smart meter,GGC,Maskat town,Rom,10828,8764 - 5
727845748,,VIOIFOWE20133,4.40E+15,Elvic,10797,415V,Non-MD,3-Phase,10755,,Elvic,GIFWOEFO3893518,12,30,TOES,10750,Smart meter,GGC,Maskat town,Rom,10829,8765 - 5
727845749,,VIOIFOWE20134,4.40E+15,Elvic,10798,415V,Non-MD,3-Phase,10756,,Elvic,GIFWOEFO3893518,12,30,TOES,10751,Smart meter,GGC,Maskat town,Rom,10830,8766 - 5
727845750,,VIOIFOWE20135,4.40E+15,Elvic,10799,415V,Non-MD,3-Phase,10757,,Elvic,GIFWOEFO3893518,12,30,TOES,10752,Smart meter,GGC,Maskat town,Rom,10831,8767 - 5
727845751,,VIOIFOWE20136,4.40E+15,Elvic,10800,415V,Non-MD,3-Phase,10758,,Elvic,GIFWOEFO3893518,12,30,TOES,10753,Smart meter,GGC,Maskat town,Rom,10832,8768 - 5
727845752,,VIOIFOWE20137,4.40E+15,Elvic,10801,415V,Non-MD,3-Phase,10759,,Elvic,GIFWOEFO3893518,12,30,TOES,10754,Smart meter,GGC,Maskat town,Rom,10833,8769 - 5
727845753,,VIOIFOWE20138,4.40E+15,Elvic,10802,415V,Non-MD,3-Phase,10760,,Elvic,GIFWOEFO3893518,12,30,TOES,10755,Smart meter,GGC,Maskat town,Rom,10834,8770 - 5
727845754,,VIOIFOWE20139,4.40E+15,Elvic,10803,415V,Non-MD,3-Phase,10761,,Elvic,GIFWOEFO3893518,12,30,TOES,10756,Smart meter,GGC,Maskat town,Rom,10835,8771 - 5
727845755,,VIOIFOWE20140,4.40E+15,Elvic,10804,415V,Non-MD,3-Phase,10762,,Elvic,GIFWOEFO3893518,12,30,TOES,10757,Smart meter,GGC,Maskat town,Rom,10836,8772 - 5
727845756,,VIOIFOWE20141,4.40E+15,Elvic,10805,415V,Non-MD,3-Phase,10763,,Elvic,GIFWOEFO3893518,12,30,TOES,10758,Smart meter,GGC,Maskat town,Rom,10837,8773 - 5
727845757,,VIOIFOWE20142,4.40E+15,Elvic,10806,415V,Non-MD,3-Phase,10764,,Elvic,GIFWOEFO3893518,12,30,TOES,10759,Smart meter,GGC,Maskat town,Rom,10838,8774 - 5
727845758,,VIOIFOWE20143,4.40E+15,Elvic,10807,415V,Non-MD,3-Phase,10765,,Elvic,GIFWOEFO3893518,12,30,TOES,10760,Smart meter,GGC,Maskat town,Rom,10839,8775 - 5
727845759,,VIOIFOWE20144,4.40E+15,Elvic,10808,415V,Non-MD,3-Phase,10766,,Elvic,GIFWOEFO3893518,12,30,TOES,10761,Smart meter,GGC,Maskat town,Rom,10840,8776 - 5
727845760,,VIOIFOWE20145,4.40E+15,Elvic,10809,415V,Non-MD,3-Phase,10767,,Elvic,GIFWOEFO3893518,12,30,TOES,10762,Smart meter,GGC,Maskat town,Rom,10841,8777 - 5
727845761,,VIOIFOWE20146,4.40E+15,Elvic,10810,415V,Non-MD,3-Phase,10768,,Elvic,GIFWOEFO3893518,12,30,TOES,10763,Smart meter,GGC,Maskat town,Rom,10842,8778 - 5
727845762,,VIOIFOWE20147,4.40E+15,Elvic,10811,415V,Non-MD,3-Phase,10769,,Elvic,GIFWOEFO3893518,12,30,TOES,10764,Smart meter,GGC,Maskat town,Rom,10843,8779 - 5
727845763,,VIOIFOWE20148,4.40E+15,Elvic,10812,415V,Non-MD,3-Phase,10770,,Elvic,GIFWOEFO3893518,12,30,TOES,10765,Smart meter,GGC,Maskat town,Rom,10844,8780 - 5
727845764,,VIOIFOWE20149,4.40E+15,Elvic,10813,415V,Non-MD,3-Phase,10771,,Elvic,GIFWOEFO3893518,12,30,TOES,10766,Smart meter,GGC,Maskat town,Rom,10845,8781 - 5
727845765,,VIOIFOWE20150,4.40E+15,Elvic,10814,415V,Non-MD,3-Phase,10772,,Elvic,GIFWOEFO3893518,12,30,TOES,10767,Smart meter,GGC,Maskat town,Rom,10846,8782 - 5
727845766,,VIOIFOWE20151,4.40E+15,Elvic,10815,415V,Non-MD,3-Phase,10773,,Elvic,GIFWOEFO3893518,12,30,TOES,10768,Smart meter,GGC,Maskat town,Rom,10847,8783 - 5
727845767,,VIOIFOWE20152,4.40E+15,Elvic,10816,415V,Non-MD,3-Phase,10774,,Elvic,GIFWOEFO3893518,12,30,TOES,10769,Smart meter,GGC,Maskat town,Rom,10848,8784 - 5
727845768,,VIOIFOWE20153,4.40E+15,Elvic,10817,415V,Non-MD,3-Phase,10775,,Elvic,GIFWOEFO3893518,12,30,TOES,10770,Smart meter,GGC,Maskat town,Rom,10849,8785 - 5
727845769,,VIOIFOWE20154,4.40E+15,Elvic,10818,415V,Non-MD,3-Phase,10776,,Elvic,GIFWOEFO3893518,12,30,TOES,10771,Smart meter,GGC,Maskat town,Rom,10850,8786 - 5
727845770,,VIOIFOWE20155,4.40E+15,Elvic,10819,415V,Non-MD,3-Phase,10777,,Elvic,GIFWOEFO3893518,12,30,TOES,10772,Smart meter,GGC,Maskat town,Rom,10851,8787 - 5
727845771,,VIOIFOWE20156,4.40E+15,Elvic,10820,415V,Non-MD,3-Phase,10778,,Elvic,GIFWOEFO3893518,12,30,TOES,10773,Smart meter,GGC,Maskat town,Rom,10852,8788 - 5
727845772,,VIOIFOWE20157,4.40E+15,Elvic,10821,415V,Non-MD,3-Phase,10779,,Elvic,GIFWOEFO3893518,12,30,TOES,10774,Smart meter,GGC,Maskat town,Rom,10853,8789 - 5
727845773,,VIOIFOWE20158,4.40E+15,Elvic,10822,415V,Non-MD,3-Phase,10780,,Elvic,GIFWOEFO3893518,12,30,TOES,10775,Smart meter,GGC,Maskat town,Rom,10854,8790 - 5
727845774,,VIOIFOWE20159,4.40E+15,Elvic,10823,415V,Non-MD,3-Phase,10781,,Elvic,GIFWOEFO3893518,12,30,TOES,10776,Smart meter,GGC,Maskat town,Rom,10855,8791 - 5
727845775,,VIOIFOWE20160,4.40E+15,Elvic,10824,415V,Non-MD,3-Phase,10782,,Elvic,GIFWOEFO3893518,12,30,TOES,10777,Smart meter,GGC,Maskat town,Rom,10856,8792 - 5
727845776,,VIOIFOWE20161,4.40E+15,Elvic,10825,415V,Non-MD,3-Phase,10783,,Elvic,GIFWOEFO3893518,12,30,TOES,10778,Smart meter,GGC,Maskat town,Rom,10857,8793 - 5
727845777,,VIOIFOWE20162,4.40E+15,Elvic,10826,415V,Non-MD,3-Phase,10784,,Elvic,GIFWOEFO3893518,12,30,TOES,10779,Smart meter,GGC,Maskat town,Rom,10858,8794 - 5
727845778,,VIOIFOWE20163,4.40E+15,Elvic,10827,415V,Non-MD,3-Phase,10785,,Elvic,GIFWOEFO3893518,12,30,TOES,10780,Smart meter,GGC,Maskat town,Rom,10859,8795 - 5
727845779,,VIOIFOWE20164,4.40E+15,Elvic,10828,415V,Non-MD,3-Phase,10786,,Elvic,GIFWOEFO3893518,12,30,TOES,10781,Smart meter,GGC,Maskat town,Rom,10860,8796 - 5
727845780,,VIOIFOWE20165,4.40E+15,Elvic,10829,415V,Non-MD,3-Phase,10787,,Elvic,GIFWOEFO3893518,12,30,TOES,10782,Smart meter,GGC,Maskat town,Rom,10861,8797 - 5
727845781,,VIOIFOWE20166,4.40E+15,Elvic,10830,415V,Non-MD,3-Phase,10788,,Elvic,GIFWOEFO3893518,12,30,TOES,10783,Smart meter,GGC,Maskat town,Rom,10862,8798 - 5
727845782,,VIOIFOWE20167,4.40E+15,Elvic,10831,415V,Non-MD,1-Phase,10789,,Elvic,GIFWOEFO3893519,12,30,TOES,10784,Smart meter,GGC,Maskat town,Rom,10863,8799 - 5
727845783,,VIOIFOWE20168,4.40E+15,Elvic,10832,415V,Non-MD,1-Phase,10790,,Elvic,GIFWOEFO3893519,12,30,TOES,10785,Smart meter,GGC,Maskat town,Rom,10864,8800 - 5
727845784,,VIOIFOWE20169,4.40E+15,Elvic,10833,415V,Non-MD,1-Phase,10791,,Elvic,GIFWOEFO3893519,12,30,TOES,10786,Smart meter,GGC,Maskat town,Rom,10865,8801 - 5
727845785,,VIOIFOWE20170,4.40E+15,Elvic,10834,415V,Non-MD,1-Phase,10792,,Elvic,GIFWOEFO3893519,12,30,TOES,10787,Smart meter,GGC,Maskat town,Rom,10866,8802 - 5
727845786,,VIOIFOWE20171,4.40E+15,Elvic,10835,415V,Non-MD,1-Phase,10793,,Elvic,GIFWOEFO3893519,12,30,TOES,10788,Smart meter,GGC,Maskat town,Rom,10867,8803 - 5
727845787,,VIOIFOWE20172,4.40E+15,Elvic,10836,415V,Non-MD,1-Phase,10794,,Elvic,GIFWOEFO3893519,12,30,TOES,10789,Smart meter,GGC,Maskat town,Rom,10868,8804 - 5
727845788,,VIOIFOWE20173,4.40E+15,Elvic,10837,415V,Non-MD,1-Phase,10795,,Elvic,GIFWOEFO3893519,12,30,TOES,10790,Smart meter,GGC,Maskat town,Rom,10869,8805 - 5
727845789,,VIOIFOWE20174,4.40E+15,Elvic,10838,415V,Non-MD,1-Phase,10796,,Elvic,GIFWOEFO3893519,12,30,TOES,10791,Smart meter,GGC,Maskat town,Rom,10870,8806 - 5
727845790,,VIOIFOWE20175,4.40E+15,Elvic,10839,415V,Non-MD,1-Phase,10797,,Elvic,GIFWOEFO3893519,12,30,TOES,10792,Smart meter,GGC,Maskat town,Rom,10871,8807 - 5
727845791,,VIOIFOWE20176,4.40E+15,Elvic,10840,415V,Non-MD,1-Phase,10798,,Elvic,GIFWOEFO3893519,12,30,TOES,10793,Smart meter,GGC,Maskat town,Rom,10872,8808 - 5
727845792,,VIOIFOWE20177,4.40E+15,Elvic,10841,415V,Non-MD,1-Phase,10799,,Elvic,GIFWOEFO3893519,12,30,TOES,10794,Smart meter,GGC,Maskat town,Rom,10873,8809 - 5
727845793,,VIOIFOWE20178,4.40E+15,Elvic,10842,415V,Non-MD,1-Phase,10800,,Elvic,GIFWOEFO3893519,12,30,TOES,10795,Smart meter,GGC,Maskat town,Rom,10874,8810 - 5
727845794,,VIOIFOWE20179,4.40E+15,Elvic,10843,415V,Non-MD,1-Phase,10801,,Elvic,GIFWOEFO3893519,12,30,TOES,10796,Smart meter,GGC,Maskat town,Rom,10875,8811 - 5
727845795,,VIOIFOWE20180,4.40E+15,Elvic,10844,415V,Non-MD,1-Phase,10802,,Elvic,GIFWOEFO3893519,12,30,TOES,10797,Smart meter,GGC,Maskat town,Rom,10876,8812 - 5
727845796,,VIOIFOWE20181,4.40E+15,Elvic,10845,415V,Non-MD,1-Phase,10803,,Elvic,GIFWOEFO3893519,12,30,TOES,10798,Smart meter,GGC,Maskat town,Rom,10877,8813 - 5
727845797,,VIOIFOWE20182,4.40E+15,Elvic,10846,415V,Non-MD,1-Phase,10804,,Elvic,GIFWOEFO3893519,12,30,TOES,10799,Smart meter,GGC,Maskat town,Rom,10878,8814 - 5
727845798,,VIOIFOWE20183,4.40E+15,Elvic,10847,415V,Non-MD,1-Phase,10805,,Elvic,GIFWOEFO3893519,12,30,TOES,10800,Smart meter,GGC,Maskat town,Rom,10879,8815 - 5
727845799,,VIOIFOWE20184,4.40E+15,Elvic,10848,415V,Non-MD,1-Phase,10806,,Elvic,GIFWOEFO3893519,12,30,TOES,10801,Smart meter,GGC,Maskat town,Rom,10880,8816 - 5
727845800,,VIOIFOWE20185,4.40E+15,Elvic,10849,415V,Non-MD,1-Phase,10807,,Elvic,GIFWOEFO3893519,12,30,TOES,10802,Smart meter,GGC,Maskat town,Rom,10881,8817 - 5
727845801,,VIOIFOWE20186,4.40E+15,Elvic,10850,415V,Non-MD,1-Phase,10808,,Elvic,GIFWOEFO3893519,12,30,TOES,10803,Smart meter,GGC,Maskat town,Rom,10882,8818 - 5
727845802,,VIOIFOWE20187,4.40E+15,Elvic,10851,415V,Non-MD,1-Phase,10809,,Elvic,GIFWOEFO3893519,12,30,TOES,10804,Smart meter,GGC,Maskat town,Rom,10883,8819 - 5
727845803,,VIOIFOWE20188,4.40E+15,Elvic,10852,415V,Non-MD,1-Phase,10810,,Elvic,GIFWOEFO3893519,12,30,TOES,10805,Smart meter,GGC,Maskat town,Rom,10884,8820 - 5
727845804,,VIOIFOWE20189,4.40E+15,Elvic,10853,415V,Non-MD,1-Phase,10811,,Elvic,GIFWOEFO3893519,12,30,TOES,10806,Smart meter,GGC,Maskat town,Rom,10885,8821 - 5
727845805,,VIOIFOWE20190,4.40E+15,Elvic,10854,415V,Non-MD,1-Phase,10812,,Elvic,GIFWOEFO3893519,12,30,TOES,10807,Smart meter,GGC,Maskat town,Rom,10886,8822 - 5
727845806,,VIOIFOWE20191,4.40E+15,Elvic,10855,415V,Non-MD,1-Phase,10813,,Elvic,GIFWOEFO3893519,12,30,TOES,10808,Smart meter,GGC,Maskat town,Rom,10887,8823 - 5
727845807,,VIOIFOWE20192,4.40E+15,Elvic,10856,415V,Non-MD,1-Phase,10814,,Elvic,GIFWOEFO3893519,12,30,TOES,10809,Smart meter,GGC,Maskat town,Rom,10888,8824 - 5
727845808,,VIOIFOWE20193,4.40E+15,Elvic,10857,415V,Non-MD,1-Phase,10815,,Elvic,GIFWOEFO3893519,12,30,TOES,10810,Smart meter,GGC,Maskat town,Rom,10889,8825 - 5
727845809,,VIOIFOWE20194,4.40E+15,Elvic,10858,415V,Non-MD,1-Phase,10816,,Elvic,GIFWOEFO3893519,12,30,TOES,10811,Smart meter,GGC,Maskat town,Rom,10890,8826 - 5
727845810,,VIOIFOWE20195,4.40E+15,Elvic,10859,415V,Non-MD,1-Phase,10817,,Elvic,GIFWOEFO3893519,12,30,TOES,10812,Smart meter,GGC,Maskat town,Rom,10891,8827 - 5
727845811,,VIOIFOWE20196,4.40E+15,Elvic,10860,415V,Non-MD,1-Phase,10818,,Elvic,GIFWOEFO3893519,12,30,TOES,10813,Smart meter,GGC,Maskat town,Rom,10892,8828 - 5
727845812,,VIOIFOWE20197,4.40E+15,Elvic,10861,415V,Non-MD,1-Phase,10819,,Elvic,GIFWOEFO3893519,12,30,TOES,10814,Smart meter,GGC,Maskat town,Rom,10893,8829 - 5
727845813,,VIOIFOWE20198,4.40E+15,Elvic,10862,415V,Non-MD,1-Phase,10820,,Elvic,GIFWOEFO3893519,12,30,TOES,10815,Smart meter,GGC,Maskat town,Rom,10894,8830 - 5
727845814,,VIOIFOWE20199,4.40E+15,Elvic,10863,415V,Non-MD,1-Phase,10821,,Elvic,GIFWOEFO3893519,12,30,TOES,10816,Smart meter,GGC,Maskat town,Rom,10895,8831 - 5
727845815,,VIOIFOWE20200,4.40E+15,Elvic,10864,415V,Non-MD,1-Phase,10822,,Elvic,GIFWOEFO3893519,12,30,TOES,10817,Smart meter,GGC,Maskat town,Rom,10896,8832 - 5
727845816,,VIOIFOWE20201,4.40E+15,Elvic,10865,415V,Non-MD,1-Phase,10823,,Elvic,GIFWOEFO3893519,12,30,TOES,10818,Smart meter,GGC,Maskat town,Rom,10897,8833 - 5
727845817,,VIOIFOWE20202,4.40E+15,Elvic,10866,415V,Non-MD,1-Phase,10824,,Elvic,GIFWOEFO3893519,12,30,TOES,10819,Smart meter,GGC,Maskat town,Rom,10898,8834 - 5
727845818,,VIOIFOWE20203,4.40E+15,Elvic,10867,415V,Non-MD,1-Phase,10825,,Elvic,GIFWOEFO3893519,12,30,TOES,10820,Smart meter,GGC,Maskat town,Rom,10899,8835 - 5
